---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/athamawardi/Desktop/Research-Projects/PSE_Pertamina/Output/hurdle/welfaregrid_Edu_z_Ker20_w1.log
  log type:  text
 opened on:  20 Jan 2026, 18:52:39
RUN: reg Edu_z on basepre=Ker20_w1 + controls
note: 2.r308b1e omitted because of collinearity.
note: 3.r309b omitted because of collinearity.
note: 4.r309d omitted because of collinearity.
note: 2.r309e omitted because of collinearity.
note: 5.r403c1 omitted because of collinearity.
note: 4.r403c2 omitted because of collinearity.

Linear regression                               Number of obs     =     84,276
                                                F(38, 487)        =          .
                                                Prob > F          =          .
                                                R-squared         =     0.7211
                                                Root MSE          =     .52989

                                  (Std. err. adjusted for 488 clusters in nama_kab)
-----------------------------------------------------------------------------------
                  |               Robust
            53 6  |  -.2412716   .0137348   -17.57   0.000    -.2682585   -.2142847
            53 7  |  -.3647408   .0149167   -24.45   0.000    -.3940498   -.3354317
            53 8  |  -.2594015   .0121799   -21.30   0.000    -.2833331     -.23547
            53 9  |  -.1997064     .00906   -22.04   0.000    -.2175079   -.1819049
           53 10  |  -.2328795   .0207599   -11.22   0.000    -.2736696   -.1920894
           53 11  |   .0835854   .0129097     6.47   0.000     .0582199    .1089509
           53 12  |   -.011623   .0111952    -1.04   0.300    -.0336199    .0103739
           53 13  |  -.0701893   .0160542    -4.37   0.000    -.1017334   -.0386452
           53 14  |   .2548916   .0094241    27.05   0.000     .2363746    .2734086
           53 15  |   .1397087   .0158066     8.84   0.000     .1086513    .1707662
           53 16  |   .1354368   .0129591    10.45   0.000      .109974    .1608995
           53 17  |  -.3503366   .0127858   -27.40   0.000    -.3754587   -.3252145
           53 18  |  -.0576728   .0136525    -4.22   0.000    -.0844979   -.0308476
           53 19  |   .0430582   .0155638     2.77   0.006     .0124776    .0736387
           53 20  |   .5031752   .0141772    35.49   0.000     .4753193    .5310312
           53 21  |  -.0279466   .0133555    -2.09   0.037    -.0541882   -.0017051
           53 71  |  -.6487149   .0246399   -26.33   0.000    -.6971284   -.6003013
            61 1  |  -.5069991   .0163497   -31.01   0.000    -.5391237   -.4748744
            61 2  |  -.1788617   .0158173   -11.31   0.000    -.2099402   -.1477832
            61 3  |  -.0584554    .016297    -3.59   0.000    -.0904764   -.0264344
            61 4  |  -.9684728    .012563   -77.09   0.000    -.9931572   -.9437884
            61 5  |   -.143999   .0155468    -9.26   0.000    -.1745461    -.113452
            61 6  |   .0929072   .0149571     6.21   0.000     .0635188    .1222956
            61 7  |   .3662291   .0173701    21.08   0.000     .3320996    .4003587
            61 8  |   .1902607    .016287    11.68   0.000     .1582593    .2222621
            61 9  |  -.1765564   .0160249   -11.02   0.000    -.2080429     -.14507
           61 10  |  -.0338328   .0186695    -1.81   0.071    -.0705155    .0028499
           61 11  |  -.2898249   .0133689   -21.68   0.000    -.3160926   -.2635571
           61 12  |  -.8396071   .0159494   -52.64   0.000    -.8709453    -.808269
           61 71  |  -1.552077   .0357779   -43.38   0.000    -1.622375   -1.481779
           61 72  |  -.9442973   .0255791   -36.92   0.000    -.9945563   -.8940383
            62 1  |   -.342935   .0153181   -22.39   0.000    -.3730326   -.3128373
            62 2  |  -.0372562   .0148423    -2.51   0.012    -.0664189   -.0080934
            62 3  |  -.3153287   .0222446   -14.18   0.000    -.3590359   -.2716214
            62 4  |  -.6387368   .0200697   -31.83   0.000    -.6781707    -.599303
            62 5  |  -.1658375   .0195843    -8.47   0.000    -.2043176   -.1273573
            62 6  |  -.2519234   .0136359   -18.47   0.000    -.2787159   -.2251308
            62 7  |  -.1494385   .0154905    -9.65   0.000    -.1798749    -.119002
            62 8  |   .0240343   .0151179     1.59   0.113      -.00567    .0537387
            62 9  |   .0010323   .0262595     0.04   0.969    -.0505636    .0526283
           62 10  |  -.4352961   .0250639   -17.37   0.000    -.4845428   -.3860495
           62 11  |  -.0077617   .0510384    -0.15   0.879    -.1080442    .0925209
           62 12  |  -.4458774   .0193549   -23.04   0.000    -.4839067   -.4078481
           62 13  |   .0682726    .031089     2.20   0.029     .0071874    .1293577
           62 71  |  -.8249275   .0288105   -28.63   0.000    -.8815357   -.7683192
            63 1  |  -.4101212    .016114   -25.45   0.000    -.4417827   -.3784597
            63 2  |   .1885626   .0101203    18.63   0.000     .1686778    .2084474
            63 3  |  -.5075606   .0152332   -33.32   0.000    -.5374915   -.4776298
            63 4  |  -.5301131    .015193   -34.89   0.000    -.5599649   -.5002612
            63 5  |  -.4123822   .0154322   -26.72   0.000     -.442704   -.3820603
            63 6  |  -.7582777   .0158916   -47.72   0.000    -.7895022   -.7270533
            63 7  |  -.7539267   .0184028   -40.97   0.000    -.7900854    -.717768
            63 8  |  -.8133027   .0178867   -45.47   0.000    -.8484474   -.7781581
            63 9  |  -.5727067   .0149923   -38.20   0.000    -.6021642   -.5432491
           63 10  |  -.2787543   .0173337   -16.08   0.000    -.3128123   -.2446962
           63 11  |  -.7158972   .0193443   -37.01   0.000    -.7539059   -.6778886
           63 71  |  -1.341964   .0259772   -51.66   0.000    -1.393006   -1.290923
           63 72  |  -1.284324   .0197018   -65.19   0.000    -1.323035   -1.245613
            64 1  |  -.1137238   .0135526    -8.39   0.000    -.1403526   -.0870949
            64 2  |   .2104039   .0153929    13.67   0.000     .1801591    .2406487
            64 3  |  -.2920506   .0191555   -15.25   0.000    -.3296882   -.2544129
            64 4  |   .1021185   .0143249     7.13   0.000     .0739723    .1302646
            64 5  |  -.1446741   .0169641    -8.53   0.000    -.1780059   -.1113422
            64 9  |  -.4521855   .0154731   -29.22   0.000    -.4825878   -.4217832
           64 11  |   .4308401   .0226673    19.01   0.000     .3863023     .475378
           64 71  |  -1.203884   .0402176   -29.93   0.000    -1.282906   -1.124863
           64 72  |  -1.242605   .0208192   -59.69   0.000    -1.283511   -1.201698
           64 74  |  -1.348563   .0336873   -40.03   0.000    -1.414753   -1.282373
            65 1  |   .1713953   .0204658     8.37   0.000     .1311832    .2116074
            65 2  |  -.2465748     .01565   -15.76   0.000    -.2773247    -.215825
            65 3  |   .1513163   .0185271     8.17   0.000     .1149135    .1877191
            65 4  |   .3003144   .0186645    16.09   0.000     .2636415    .3369873
           65 71  |  -1.299804   .0329833   -39.41   0.000    -1.364611   -1.234997
            71 1  |   -.355184   .0125256   -28.36   0.000    -.3797949   -.3305732
            71 2  |  -.1736071   .0145191   -11.96   0.000     -.202135   -.1450793
            71 3  |  -.0991594   .0104509    -9.49   0.000    -.1196938    -.078625
            71 4  |   .2332554    .006847    34.07   0.000     .2198019    .2467088
            71 5  |  -.1686225   .0123475   -13.66   0.000    -.1928835   -.1443615
            71 6  |   -.192217   .0143193   -13.42   0.000    -.2203523   -.1640817
            71 7  |  -.2624082   .0074465   -35.24   0.000    -.2770395   -.2477769
            71 8  |   .0569257   .0080933     7.03   0.000     .0410235    .0728278
            71 9  |  -.1276623   .0144043    -8.86   0.000    -.1559645     -.09936
           71 10  |  -.1483163   .0049555   -29.93   0.000    -.1580531   -.1385794
           71 11  |  -.3584038   .0142475   -25.16   0.000    -.3863979   -.3304096
           71 71  |  -.5943353   .0254735   -23.33   0.000    -.6443869   -.5442838
           71 72  |  -.2502158   .0361959    -6.91   0.000    -.3213352   -.1790964
           71 73  |  -.4167936   .0171395   -24.32   0.000    -.4504701   -.3831172
           71 74  |  -.9559803   .0167858   -56.95   0.000    -.9889619   -.9229988
            72 1  |  -.1867172   .0094276   -19.81   0.000     -.205241   -.1681934
            72 2  |  -.1918899   .0069672   -27.54   0.000    -.2055793   -.1782004
            72 3  |  -.0940592   .0123696    -7.60   0.000    -.1183636   -.0697548
            72 4  |  -.2370175   .0138085   -17.16   0.000     -.264149   -.2098859
            72 5  |  -.2416987   .0082931   -29.14   0.000    -.2579933   -.2254041
            72 6  |  -.3893017   .0104758   -37.16   0.000    -.4098851   -.3687183
            72 7  |  -.2923873   .0080212   -36.45   0.000    -.3081477   -.2766269
            72 8  |  -.3972503   .0080325   -49.46   0.000    -.4130329   -.3814676
            72 9  |  -.3683694   .0104878   -35.12   0.000    -.3889763   -.3477624
           72 10  |  -.3031821   .0148378   -20.43   0.000     -.332336   -.2740282
           72 11  |   -.115203   .0145832    -7.90   0.000    -.1438567   -.0865493
           72 12  |   .0752708    .012559     5.99   0.000     .0505943    .0999473
           72 71  |  -1.106936   .0200539   -55.20   0.000    -1.146339   -1.067533
            73 1  |   .0126222   .0067689     1.86   0.063    -.0006777    .0259221
            73 2  |  -.5744637   .0191632   -29.98   0.000    -.6121164    -.536811
            73 3  |  -.9871746   .0139658   -70.69   0.000    -1.014615    -.959734
            73 4  |  -.9570173   .0136073   -70.33   0.000    -.9837535   -.9302811
            73 5  |  -.6355606   .0247139   -25.72   0.000    -.6841196   -.5870015
            73 6  |  -.7549353   .0213901   -35.29   0.000    -.7969636    -.712907
            73 7  |  -.8126337   .0303269   -26.80   0.000    -.8722215   -.7530459
            73 8  |  -.4618237   .0554179    -8.33   0.000    -.5707114    -.352936
            73 9  |  -.4095777   .0263647   -15.54   0.000    -.4613802   -.3577752
           73 10  |  -.7813865   .0157016   -49.76   0.000    -.8122378   -.7505352
           73 11  |  -.3093194   .0173249   -17.85   0.000    -.3433601   -.2752786
           73 12  |  -.8517524   .0152011   -56.03   0.000    -.8816203   -.8218846
           73 13  |  -.3703128   .0142422   -26.00   0.000    -.3982965   -.3423291
           73 14  |  -.6925369   .0153362   -45.16   0.000    -.7226703   -.6624036
           73 15  |  -.7295224   .0135563   -53.81   0.000    -.7561585   -.7028862
           73 16  |  -.3091658   .0145784   -21.21   0.000    -.3378101   -.2805214
           73 17  |   -.244099    .015711   -15.54   0.000    -.2749687   -.2132293
           73 18  |  -.2257796   .0149861   -15.07   0.000     -.255225   -.1963342
           73 22  |  -.1340485   .0134015   -10.00   0.000    -.1603805   -.1077166
           73 25  |   -.212226   .0167076   -12.70   0.000     -.245054   -.1793981
           73 26  |  -.0501911   .0151961    -3.30   0.001    -.0800491   -.0203331
           73 71  |   -.751993   .0666052   -11.29   0.000    -.8828621    -.621124
           73 72  |  -1.250899   .0185143   -67.56   0.000    -1.287276   -1.214521
           73 73  |  -.5249513   .0270057   -19.44   0.000    -.5780133   -.4718893
            74 1  |  -.4754534   .0115148   -41.29   0.000    -.4980782   -.4528287
            74 2  |  -.3534458   .0144772   -24.41   0.000    -.3818914   -.3250003
            74 3  |   .0871936   .0161988     5.38   0.000     .0553655    .1190218
            74 4  |  -.3088824   .0165019   -18.72   0.000    -.3413061   -.2764587
            74 5  |   .0226465    .012671     1.79   0.075    -.0022501     .047543
            74 6  |  -.0344548   .0217247    -1.59   0.113    -.0771406    .0082309
            74 7  |  -.7028775   .0096192   -73.07   0.000    -.7217777   -.6839773
            74 8  |    -.18726   .0106414   -17.60   0.000    -.2081686   -.1663514
            74 9  |   .0894896    .011136     8.04   0.000     .0676092    .1113701
           74 10  |   .4400931   .0174568    25.21   0.000      .405793    .4743931
           74 11  |  -.0063425   .0150697    -0.42   0.674    -.0359522    .0232671
           74 12  |   .3641158   .0084092    43.30   0.000      .347593    .3806385
           74 13  |  -.1759425   .0159714   -11.02   0.000     -.207324   -.1445611
           74 14  |  -.2953502   .0161917   -18.24   0.000    -.3271644   -.2635361
           74 15  |  -.4288432   .0090276   -47.50   0.000    -.4465812   -.4111053
           74 71  |  -.4450585   .0469842    -9.47   0.000    -.5373752   -.3527418
           74 72  |  -.6500384   .0220632   -29.46   0.000    -.6933892   -.6066875
            75 1  |  -.6954373   .0155599   -44.69   0.000    -.7260102   -.6648644
            75 2  |  -.5655036   .0142311   -39.74   0.000    -.5934656   -.5375416
            75 3  |  -.6159434   .0114109   -53.98   0.000     -.638364   -.5935227
            75 4  |  -.3735129   .0147163   -25.38   0.000    -.4024282   -.3445976
            75 5  |  -.3697289   .0096226   -38.42   0.000    -.3886357    -.350822
           75 71  |   -.581557   .0267562   -21.74   0.000    -.6341288   -.5289852
            76 1  |  -.6886224   .0119155   -57.79   0.000    -.7120347   -.6652102
            76 2  |  -.5682218   .0199964   -28.42   0.000    -.6075117   -.5289319
            76 3  |  -.1496189   .0175554    -8.52   0.000    -.1841126   -.1151252
            76 4  |   -.437106   .0114374   -38.22   0.000    -.4595789   -.4146332
            76 5  |  -.6647885   .0101105   -65.75   0.000    -.6846541   -.6449228
            76 6  |  -.5321307   .0141226   -37.68   0.000    -.5598794   -.5043819
            81 1  |  -.1122083   .0198417    -5.66   0.000    -.1511941   -.0732225
            81 2  |  -.1579456   .0183393    -8.61   0.000    -.1939795   -.1219117
            81 3  |  -.8049923   .0178931   -44.99   0.000    -.8401496   -.7698351
            81 4  |  -.3626577    .012233   -29.65   0.000    -.3866937   -.3386218
            81 5  |   .1243535   .0294834     4.22   0.000     .0664231    .1822839
            81 6  |  -.4113507    .016464   -24.98   0.000       -.4437   -.3790015
            81 7  |  -.1143697   .0198746    -5.75   0.000    -.1534202   -.0753192
            81 8  |   .3690868   .0137578    26.83   0.000     .3420547    .3961188
            81 9  |  -.2005531   .0212188    -9.45   0.000    -.2422448   -.1588615
           81 71  |  -.5678248   .0235344   -24.13   0.000    -.6140662   -.5215833
           81 72  |  -.3269859    .018061   -18.10   0.000    -.3624729   -.2914989
            82 1  |  -.0778707    .017596    -4.43   0.000    -.1124442   -.0432972
            82 2  |  -.1597712   .0192948    -8.28   0.000    -.1976826   -.1218599
            82 3  |  -.3767042   .0159445   -23.63   0.000    -.4080326   -.3453757
            82 4  |  -.0218862   .0239655    -0.91   0.362    -.0689747    .0252023
            82 5  |   -.071527   .0159839    -4.47   0.000    -.1029329   -.0401211
            82 6  |  -.0379701   .0081145    -4.68   0.000    -.0539139   -.0220263
            82 7  |  -.0428113   .0090743    -4.72   0.000    -.0606409   -.0249818
            82 8  |   .0088143   .0148273     0.59   0.552    -.0203191    .0379477
           82 71  |  -.4001312   .0222271   -18.00   0.000    -.4438041   -.3564583
           82 72  |     -.4024   .0153278   -26.25   0.000    -.4325168   -.3722833
            91 1  |   .3383618   .0198905    17.01   0.000       .29928    .3774436
            91 2  |   .4690216    .036293    12.92   0.000     .3977113    .5403318
            91 3  |   .3539435   .0207216    17.08   0.000     .3132287    .3946583
            91 4  |   .6370181   .0281006    22.67   0.000     .5818046    .6922315
            91 5  |   .2357941   .0136124    17.32   0.000     .2090478    .2625405
           91 11  |   .4481001   .0241527    18.55   0.000     .4006438    .4955564
           91 12  |   .9307518   .0243796    38.18   0.000     .8828495     .978654
            92 1  |   .4530969   .0268808    16.86   0.000     .4002803    .5059136
            92 2  |   .5088193   .0234552    21.69   0.000     .4627335    .5549052
            92 3  |   .4212633   .0354162    11.89   0.000      .351676    .4908507
            92 4  |   .8186011   .0281633    29.07   0.000     .7632644    .8739377
            92 5  |   .9749929   .0222718    43.78   0.000     .9312323    1.018754
           92 71  |  -.3462007   .0350171    -9.89   0.000    -.4150041   -.2773974
            94 3  |   .1745312   .0194429     8.98   0.000     .1363288    .2127336
            94 8  |   .3871501   .0214966    18.01   0.000     .3449126    .4293876
            94 9  |   .4609973   .0146062    31.56   0.000     .4322983    .4896963
           94 19  |   .5666866   .0221639    25.57   0.000      .523138    .6102352
           94 20  |   .4853377   .0278178    17.45   0.000       .43068    .5399954
           94 26  |   .7550809   .0194233    38.87   0.000     .7169171    .7932448
           94 27  |    .336692   .0238085    14.14   0.000      .289912    .3834721
           94 28  |   .5963739   .0412871    14.44   0.000      .515251    .6774968
           94 71  |  -.6506874    .028526   -22.81   0.000    -.7067367    -.594638
            95 1  |   .3132083   .0233561    13.41   0.000     .2673172    .3590995
            95 2  |   .4672716    .056295     8.30   0.000     .3566605    .5778828
            95 3  |    .760862   .0300973    25.28   0.000     .7017254    .8199987
            95 4  |    .901253   .0345788    26.06   0.000      .833311     .969195
            96 1  |   .5830176   .0218881    26.64   0.000     .5400109    .6260244
            96 2  |   1.169077   .0253116    46.19   0.000     1.119343     1.21881
            96 3  |   1.026767   .0149696    68.59   0.000     .9973536     1.05618
            96 4  |   .1764089   .0218131     8.09   0.000     .1335496    .2192683
            96 5  |    1.18736   .0175249    67.75   0.000     1.152926    1.221793
            96 6  |    1.43792   .0190332    75.55   0.000     1.400523    1.475317
            96 7  |   1.062452   .0206574    51.43   0.000     1.021864    1.103041
            96 8  |   1.126263   .0216496    52.02   0.000     1.083725    1.168801
            97 1  |   1.213474   .0398747    30.43   0.000     1.135126    1.291822
            97 2  |   .8681087   .0177995    48.77   0.000     .8331354     .903082
            97 3  |   .9698283   .0300423    32.28   0.000     .9107997    1.028857
            97 4  |   .8481656   .0407345    20.82   0.000     .7681286    .9282027
            97 5  |   1.082485   .0219189    49.39   0.000     1.039418    1.125552
            97 6  |   1.173884    .023988    48.94   0.000     1.126752    1.221017
            97 7  |   1.572167   .0223238    70.43   0.000     1.528304     1.61603
            97 8  |   1.062526   .0500457    21.23   0.000     .9641936    1.160858
                  |
            _cons |   1.125296   .0843048    13.35   0.000     .9596499    1.290942
-----------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/athamawardi/Desktop/Research-Projects/PSE_Pertamina/Output/hurdle/welfaregrid_Edu_z_Ker20_w1.log
  log type:  text
 closed on:  20 Jan 2026, 18:52:43
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
